name,alternativename,notes,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,exclude,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,
Monster.com,Jobs website,"A trojan virus stole log-ins that were used to harvest user names, e-mail addresses, home addresses and phone numbers. Soon after phishing e-mails encouraged users to download a Monster Job Seeker Tool, which was in fact a program that encrypted files in their computer and left a ransom note demanding money for their decryption.

",2007,"1,600,000",web,hacked,y,1600000,20,,,,,http://news.bbc.co.uk/1/hi/6956349.stm,,,BBC,,,,,,,,,,,,,,,,,
Driving Standards Agency,,"Hard disk with details of candidates for the driving theory test was lost in a premises in Iowa by subcontractors. Only names, addresses and phone numbers. ",2007,"3,000,000",government,lost / stolen media,,"3,000,000",20,,,,,http://news.bbc.co.uk/1/hi/uk_politics/7147715.stm,,,,,,,,,,,,,,,,,,,,
"Driving Standards Agency,",Details of candidates for the driving theory test were on a hard drive that went missing in the US. ,,2007,"3,000,000",government,lost / stolen media,,3000000,20,,,,,http://news.bbc.co.uk/1/hi/uk_politics/7147715.stm,,,,,,,,,,,,,,,,,,,,
Hannaford Brothers Supermarket Chain,"Delhaize Group: Hannaford Bros, Sweetbay, Food Lion, Bloom, Bottom Dollar, Harveys, Kash n' Karry",An estimated 4.2 million credit and debit card numbers were stolen.,2007,"4,200,000",retail,hacked,,4200000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
TD Ameritrade,US online broker,TD Ameritrade settled a class action lawsuit to compensate as many as 6.3 million TD Ameritrade customers whose data was stolen by hackers costing the Nebraska online brokerage firm less than $2 per victim.,2007,"6,300,000",financial,hacked,,6300000,1,,,,,http://www.wired.com/threatlevel/2008/07/ameritrade-hack/,,,Wired,,,,,,,,,,,,,,,,,
Fidelity National Information Services,"Employee sold customer information to a data broker, including names, addresses, birth dates, bank account and credit card information.",,2007,"8,500,000",financial,inside job,,8500000,300,,,,,http://www.pcworld.com/article/135117/article.html,,,,,,,,,,,,,,,,,,,,
Dai Nippon Printing,Japanese printing company,"A former contractor of Dai Nippon Printing Company in Tokyo, Japan stole 8.6 million records containing the personal data of customers of 43 of the company's clients. ",2007,"8,637,405",retail,inside job,,8637405,1,,,,,http://usatoday30.usatoday.com/tech/news/computersecurity/2007-12-30-data_n.htm,,,USA Today,,,,,,,,,,,,,,,,,
UK Revenue & Customs,HMRC,A set of discs containing confidential details of 25 million child benefit recipients was lost.,2007,"25,000,000",government,lost / stolen media ,,25000000,1,,,,,http://news.bbc.co.uk/2/hi/uk_news/7103911.stm,,,BBC News,,,,,,,,,,,,,,,,,
TK / TJ Maxx,Largest retail breach to date,"Hackers hacked a Minnesota store wifi network and stole data from credit and debit cards of shoppers at off-price retailers TJX, owners of nearly 2,500 stores, including T.J. Maxx and Marshalls. This case is believed to be the largest such breach of consumer information.",2007,"94,000,000",retail,hacked,,94000000,300,,,,,http://www.zdnet.com/wi-fi-hack-caused-tk-maxx-security-breach-3039286991/,http://www.msnbc.msn.com/id/17871485/ns/technology_and_science-security/t/tj-maxx-theft-believed-largest-hack-ever/#.UFi-HaRYtmg,,ZD Net,,,,,,,,,,,,,,,,,
Hewlett Packard,,"Laptop lost/stolen containing employee data: names, addresses, Social Security numbers, dates of birth and other employment-related information.",2006,"200,000","tech, retail",lost / stolen media,y,200000,20,,,,,http://news.cnet.com/Laptop-with-HP-employee-data-stolen/2100-7348_3-6052964.html,,,,,,,,,,,,,,,,,,,,
Countrywide Financial Corp,Mortgage financer,,2006,"2,600,000",financial,inside job,,2600000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
KDDI,Japanese telecommunications operator,"Press report: ""Tokyo police have arrested two men for trying to extort nearly US$90,000 from KDDI Corp. The pair allegedly threatened to disclose the existence of storage media containing personal data belonging to four million KDDI customers prior to a shareholder meeting; however, KDDI alerted the police as soon as they were contacted by the blackmailers; the police monitored communications between KDDI and the pair for several weeks. """,2006,"4,000,000",telecoms,hacked,y,4000000,1,,,,,http://www.computerworld.com/s/article/9001150/KDDI_suffers_massive_data_breach,,,Computer World,,,,,,,,,,,,,,,,,
"T-Mobile, Deutsche Telecom",,"Thieves got their hands on a storage device with the data, which included the names, addresses, cell phone numbers, and some birth dates and e-mail addresses for high-profile German citizens. The company said the records did not contain bank details, credit card numbers, or call data.",2006,"17,000,000",telecoms,lost / stolen media ,,17000000,1,,,,,http://www.datalossdb.org,http://www.informationweek.com/security/attacks/t-mobile-lost-17-million-subscribers-per/210700232,,Data Loss Database,,,,,,,,,,,,,,,,,
AOL,American Online,"Durp. AOL VOLUNTARILY released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",2006,"20,000,000",web,accidentally published,y,20000000,1,,,,,http://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/,,,Tech Crunch,,,,,,,,,,,,,,,,,
US Dept of Vet Affairs,,The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop. The department originally took three weeks to report the theft. The laptop was recovered with the data apparently intact a month after it was reported stolen. But it is impossible to say with absolute certainty that the data was not accessed and copied.  ,2006,"26,500,000","government, military",lost / stolen computer,,26500000,20,,,,,http://gcn.com/Articles/2009/02/02/VA-data-breach-suit-settlement.aspx,,,,,,,,,,,,,,,,,,,,
Automatic Data Processing,"Business outsourcing, payrolls, benefits",,2005,"125,000",financial,poor security,,125000,20,,,,,http://abcnews.go.com/Technology/story?id=2160425&page=1#.UFcROxgUwaA,,,ABC,,,,,,,,,,,,,,,,,
Ameritrade Inc.,Computer backup tape containing personal information was lost. ,online broker,2005,"200,000",financial,lost / stolen media,,200000,20,,,,,http://www.nbcnews.com/id/7561268/,,,,,,,,,,,,,,,,,,,,
Citigroup,,Blame the messenger! A box of computer tapes containing information on 3.9 million customers was lost by United Parcel Service (UPS) while in transit to a credit reporting agency.,2005,"3,900,000",financial,lost / stolen media ,y,3900000,300,,,,,http://www.nytimes.com/2005/06/07/business/07data.html?pagewanted=all&_moc.semityn.www,,,NY Times,,,,,,,,,,,,,,,,,
Cardsystems Solutions Inc. ,"Third-party payment processor for Visa, Mastercard, Amex,  and Discover","CardSystems was fingered by MasterCard after it spotted fraud on credit card accounts and found a common thread, tracing it back to CardSystems.  An unauthorized entity put a specific code into CardSystems' network, enabling the person or group to gain access to the data. It's not clear how many of the 40 million accounts were actually stolen. ",2005,"40,000,000",financial,hacked,y,40000000,300,,,,,http://www.msnbc.msn.com/id/8260050/ns/technology_and_science-security/t/million-credit-cards-exposed/#.UFiz7aRYtmg,,,MSNBC,,,,,,,,,,,,,,,,,
AOL,American Online, A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,2004,"92,000,000",web,"inside job, hacked",,92000000,1,,,,,http://money.cnn.com/2004/06/23/technology/aol_spam/,http://www.msnbc.msn.com/id/8985989/#.UFcN8RgUwaA,,CNN,,,,,,,,,,,,,,,,,
